title,Month,year,Budget($M),length,rating,votes,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,label
Super Mario Bros.,May,1993,42.0,104,3.6,5376,,1,0,1,0,0,0,0,0
The Postman,Dec,1997,80.0,177,5.2,8773,,1,0,0,1,0,0,0,0
The Dead Zone,Oct,1983,10.0,103,7.2,6338,,0,0,0,1,0,0,0,0
Boys Don't Cry,Oct,1999,2.0,118,7.6,14456,R,0,0,0,1,0,0,0,0
Best in Show,Sep,2000,6.0,90,7.5,11790,PG-13,0,0,1,0,0,0,0,0
A Christmas Story,Nov,1983,3.25,93,8.1,19737,,0,0,1,0,0,0,0,0
The Last Castle,Oct,2001,60.0,131,6.4,7233,R,1,0,0,1,0,0,0,0
The Adventures of Ford Fairlane,Jul,1990,49.0,104,5.2,4133,,1,0,1,0,0,0,0,0
Kids,Jul,1995,1.5,91,6.6,9099,,0,0,0,1,0,0,0,0
Duel in the Sun,Dec,1946,6.0,144,7.0,866,,0,0,0,1,0,0,0,0
Valentine,Feb,2001,10.0,96,4.2,4779,R,0,0,0,0,0,0,0,0
City Hall,Feb,1996,40.0,111,6.1,4381,R,0,0,0,1,0,0,0,0
Vampires,Oct,1998,20.0,106,5.6,7908,R,1,0,0,0,0,0,0,0
Action Jackson,Feb,1988,7.0,96,4.4,1743,,1,0,1,0,0,0,0,0
Barry Lyndon,Jan,1975,11.0,184,8.0,12285,,0,0,0,1,0,1,0,0
Serving Sara,Aug,2002,29.0,99,4.6,2990,PG-13,0,0,1,0,0,1,0,0
Multiplicity,Jul,1996,45.0,117,5.7,5241,PG-13,0,0,1,0,0,0,0,0
Love and Death,Jun,1975,3.0,85,7.6,4193,,0,0,1,0,0,0,0,0
Creepshow,Nov,1982,8.0,120,6.0,3687,,0,0,1,0,0,0,0,0
Down to You,Jan,2000,9.0,91,4.7,3232,PG-13,0,0,1,1,0,1,0,0
I Heart Huckabees,Oct,2004,22.0,106,7.0,7262,R,0,0,1,0,0,0,0,0
Life of Brian,Aug,1979,4.0,94,8.1,33325,,0,0,1,0,0,0,0,0
The Kentucky Fried Movie,Aug,1977,0.6,90,6.4,3756,,0,0,1,0,0,0,0,0
Fled,Jul,1996,30.0,105,5.0,1943,R,1,0,1,0,0,1,0,0
Hard Rain,Jan,1998,70.0,97,5.5,6161,R,1,0,0,1,0,0,0,0
Get Over It,Mar,2001,10.0,87,5.7,3561,PG-13,0,0,1,0,0,1,0,0
Young Sherlock Holmes,Dec,1985,18.0,109,6.4,3001,,0,0,0,0,0,0,0,0
Summer Catch,Aug,2001,17.0,105,4.5,2581,PG-13,0,0,1,0,0,1,0,0
Vampire in Brooklyn,Oct,1995,14.0,100,4.4,2716,R,0,0,1,0,0,1,0,0
Nighthawks,Apr,1981,5.0,99,6.2,1726,,1,0,0,1,0,0,0,0
Heavy Metal,Aug,1981,9.3,90,6.2,4538,,1,1,0,0,0,0,0,0
Friday the 13th Part VI: Jason Lives,Aug,1986,3.0,87,4.7,2902,,1,0,0,0,0,0,0,0
Doug's 1st Movie,Mar,1999,5.0,77,4.5,290,,0,1,1,0,0,0,0,0
Get Carter,Oct,2000,40.0,104,4.7,4927,R,1,0,0,1,0,0,0,0
Tuck Everlasting,Oct,2002,15.0,96,6.5,2055,PG,0,0,0,1,0,1,0,0
Rock Star,Sep,2001,38.0,105,5.8,5100,R,0,0,1,1,0,0,0,0
Summer of Sam,Jul,1999,22.0,142,6.5,8151,R,0,0,0,1,0,1,0,0
Half Past Dead,Nov,2002,25.0,98,3.9,2099,PG-13,1,0,0,0,0,0,0,0
Friday the 13th Part VII: The New Blood,May,1988,2.8,90,4.1,2625,,0,0,0,1,0,0,0,0
Vanity Fair,Sep,2004,23.0,141,6.1,2151,PG-13,0,0,0,1,0,1,0,0
Rushmore,Dec,1998,10.0,93,7.7,22209,R,0,0,1,1,0,1,0,0
The Replacement Killers,Feb,1998,30.0,87,5.8,6825,R,1,0,0,0,0,0,0,0
Disturbing Behavior,Jul,1998,15.0,84,5.1,4620,R,0,0,0,0,0,0,0,0
The Boys from Brazil,Jan,1978,12.0,123,6.8,2826,,0,0,0,1,0,0,0,0
Under the Rainbow,Jul,1981,20.0,97,4.8,535,,0,0,1,0,0,0,0,0
The Merchant of Venice,Dec,2004,30.0,138,7.3,1400,R,0,0,1,1,0,0,0,0
3000 Miles to Graceland,Feb,2001,62.0,125,5.4,7298,R,1,0,1,0,0,0,0,0
Anywhere But Here,Nov,1999,23.0,114,5.9,4007,PG-13,0,0,0,1,0,0,0,0
The Fan,Aug,1996,55.0,114,5.4,6920,R,0,0,0,0,0,0,0,0
The Fan,Aug,1996,55.0,114,5.4,6920,R,0,0,0,0,0,0,0,0
The Quick and the Dead,Feb,1995,32.0,107,6.1,8837,,1,0,0,0,0,0,0,0
De-Lovely,Jun,2004,15.0,125,6.7,2039,PG-13,0,0,0,1,0,1,0,0
Cutthroat Island,Dec,1995,92.0,119,5.1,3942,PG-13,1,0,0,0,0,1,0,0
A Mighty Wind,Apr,2003,6.0,91,7.3,5941,PG-13,0,0,1,0,0,0,0,0
The Curse of the Jade Scorpion,Aug,2001,26.0,103,6.8,5846,PG-13,0,0,1,1,0,0,0,0
Empire,Dec,2002,3.5,90,6.0,1718,R,1,0,0,1,0,0,0,0
Sugar Hill,Feb,1994,10.0,123,5.2,444,,0,0,0,1,0,0,0,0
Ladyhawke,Apr,1985,20.0,121,6.8,7090,,0,0,0,0,0,1,0,0
Sleeper,Dec,1973,2.0,89,7.4,5571,,0,0,1,0,0,0,0,0
Simon Birch,Sep,1998,20.0,113,6.8,4612,PG,0,0,1,1,0,0,0,0
Loser,Jul,2000,20.0,92,5.1,5152,PG-13,0,0,1,0,0,1,0,0
Harold & Kumar Go to White Castle,Jul,2004,9.0,90,7.1,8376,R,0,0,1,0,0,0,0,0
All the Pretty Horses,Dec,2000,45.0,116,5.6,3133,PG-13,0,0,0,1,0,0,0,0
Last Man Standing,Sep,1996,67.0,101,5.7,6751,R,1,0,0,1,0,0,0,0
The Howling,Apr,1981,1.0,91,6.3,2546,,0,0,0,0,0,0,0,0
Antitrust,Jan,2001,30.0,108,6.0,7326,PG-13,0,0,0,1,0,0,0,0
The Contender,Oct,2000,9.0,126,6.9,7023,R,0,0,0,1,0,0,0,0
Halloween 4: The Return of Michael Myers,Oct,1988,5.0,88,5.0,3177,,0,0,0,0,0,0,0,0
The Rage: Carrie 2,Mar,1999,21.0,104,4.4,3280,R,0,0,0,0,0,0,0,0
Cat on a Hot Tin Roof,Sep,1958,3.0,108,7.8,4870,,0,0,0,1,0,0,0,0
Invasion U.S.A.,Sep,1985,10.0,107,3.9,692,,1,0,0,0,0,0,0,0
Beneath the Planet of the Apes,May,1970,3.0,95,5.8,3568,,1,0,0,1,0,0,0,0
Kinsey,Nov,2004,11.0,118,7.6,3225,R,0,0,0,1,0,0,0,0
A Guy Thing,Jan,2003,20.0,101,5.3,2885,PG-13,0,0,1,0,0,1,0,0
Half Baked,Jan,1998,8.0,73,6.1,6119,R,0,0,1,0,0,0,0,0
Extreme Measures,Sep,1996,38.0,118,5.9,3417,R,0,0,0,0,0,0,0,0
My Baby's Daddy,Jan,2004,12.0,88,3.8,632,PG-13,0,0,1,0,0,0,0,0
Max Keeble's Big Move,Oct,2001,12.0,86,5.3,587,PG,0,0,1,0,0,0,0,0
The Phantom,Jun,1996,45.0,100,5.0,3329,PG,1,0,0,0,0,0,0,0
Hudson Hawk,May,1991,65.0,103,5.1,8904,,1,0,1,0,0,0,0,0
Election,Apr,1999,8.5,103,7.4,17521,R,0,0,1,0,0,0,0,0
Kung Pow: Enter the Fist,Jan,2002,10.0,82,5.1,5871,PG-13,1,0,1,0,0,0,0,0
Central do Brasil,Nov,1998,2.9,108,7.9,8980,,0,0,0,1,0,0,0,0
Kingdom of the Spiders,Jan,1977,0.5,97,5.4,484,,0,0,0,0,0,0,0,0
The Country Bears,Jul,2002,20.0,88,3.7,664,,0,0,1,0,0,0,0,0
Win a Date with Tad Hamilton!,Jan,2004,24.0,95,5.8,2933,PG-13,0,0,1,0,0,1,0,0
Catch That Kid,Feb,2004,18.0,91,4.5,598,PG,1,0,1,0,0,0,0,0
Godsend,Apr,2004,30.0,102,4.8,3981,PG-13,0,0,0,1,0,0,0,0
Rabbit-Proof Fence,Nov,2002,7.0,94,7.7,5079,PG,0,0,0,1,0,0,0,0
Femme Fatale,Nov,2002,35.0,114,6.4,6083,R,0,0,0,0,0,0,0,0
54,Aug,1998,13.0,100,5.4,6905,R,0,0,0,1,0,0,0,0
Tremors,Jan,1990,10.0,96,6.9,9657,,0,0,1,0,0,0,0,0
Digimon: The Movie,Oct,2000,5.0,82,3.4,455,PG,1,1,0,0,0,0,0,0
Paparazzi,Sep,2004,20.0,84,5.6,2028,PG-13,0,0,0,1,0,0,0,0
The Good Girl,Aug,2002,8.0,93,6.9,8254,R,0,0,1,1,0,0,0,0
Baby's Day Out,Jul,1994,50.0,99,4.4,1856,,0,0,1,0,0,0,0,0
Original Sin,Aug,2001,26.0,116,5.5,4592,R,0,0,0,1,0,1,0,0
The Powerpuff Girls,Jul,2002,25.0,73,6.2,1334,PG,1,1,1,0,0,0,0,0
A Simple Plan,Dec,1998,17.0,121,7.6,15398,R,0,0,0,1,0,0,0,0
Muppets From Space,Jul,1999,24.0,88,6.0,2766,,0,0,1,0,0,0,0,0
Howard the Duck,Aug,1986,30.0,110,3.9,6582,,1,0,1,0,0,0,0,0
The Emperor's Club,Nov,2002,12.5,109,6.7,3056,PG-13,0,0,0,1,0,0,0,0
Just Visiting,Apr,2001,40.0,93,5.6,2212,,0,0,1,0,0,0,0,0
House of Sand and Fog,Dec,2003,16.5,126,7.8,8164,R,0,0,0,1,0,0,0,0
Mo' Better Blues,Aug,1990,10.0,130,6.1,1408,,0,0,0,1,0,0,0,0
Flirting with Disaster,Mar,1996,7.0,92,7.0,3986,,0,0,1,0,0,0,0,0
"Bright Lights, Big City",Apr,1988,25.0,110,5.2,1461,,0,0,0,1,0,0,0,0
The Ice Storm,Sep,1997,18.0,112,7.5,13115,R,0,0,0,1,0,0,0,0
Drowning Mona,Mar,2000,16.0,95,5.4,3454,PG-13,0,0,1,0,0,0,0,0
Jason Goes to Hell: The Final Friday,Aug,1993,3.0,91,3.9,2651,,1,0,0,0,0,0,0,0
Thomas and the Magic Railroad,Jul,2000,19.0,85,4.2,364,,0,0,0,0,0,0,0,0
The Island,Jun,1980,22.0,114,4.7,434,,0,0,0,0,0,0,0,0
High Plains Drifter,Aug,1973,5.5,105,7.4,4189,,0,0,0,1,0,0,0,0
Ulee's Gold,Jun,1997,2.7,113,7.1,2368,,0,0,0,1,0,0,0,0
My Boss's Daughter,Aug,2003,14.0,90,4.1,2765,R,0,0,1,0,0,1,0,0
The Greatest Story Ever Told,Feb,1965,20.0,225,6.0,1097,,0,0,0,1,0,0,0,0
Bait,Sep,2000,35.0,119,5.6,1884,R,1,0,1,0,0,0,0,0
In Too Deep,Aug,1999,7.0,95,5.8,978,,0,0,0,1,0,0,0,0
The Jacket,Mar,2005,28.5,102,6.4,1564,R,0,0,0,0,0,0,0,0
Alex & Emma,Jun,2003,30.0,96,5.3,2176,PG-13,0,0,1,1,0,1,0,0
Sweet Sweetback's Baad Asssss Song,Jan,1971,0.15,97,5.3,547,,0,0,0,1,0,0,0,0
The Long Riders,May,1980,10.0,99,7.0,1190,,0,0,0,0,0,0,0,0
Thinner,Oct,1996,14.0,92,5.0,2633,R,0,0,0,0,0,0,0,0
The Corruptor,Mar,1999,10.0,99,5.5,4312,R,1,0,0,1,0,0,0,0
Chasing Amy,Apr,1997,0.25,111,7.6,32141,R,0,0,1,1,0,1,0,0
Firestarter,May,1984,15.0,101,5.6,2839,,0,0,0,0,0,0,0,0
Halloween: The Curse of Michael Myers,Sep,1995,5.0,88,4.2,2662,R,0,0,0,0,0,0,0,0
Dead Man on Campus,Aug,1998,14.0,96,5.4,2829,R,0,0,1,0,0,0,0,0
Twilight,Mar,1998,20.0,94,6.1,2220,R,0,0,0,1,0,0,0,0
Spaced Invaders,Apr,1990,3.0,100,4.5,612,,0,0,1,0,0,0,0,0
The Front Page,Dec,1974,4.0,105,7.0,1296,,0,0,1,0,0,0,0,0
The Egyptian,Jan,1954,5.0,139,5.7,376,,0,0,0,1,0,0,0,0
Solaris,Nov,2002,47.0,99,6.3,11808,PG-13,0,0,0,1,0,1,0,0
The Hudsucker Proxy,Mar,1994,40.0,111,7.4,12903,,0,0,1,0,0,1,0,0
Eve's Bayou,Nov,1997,5.0,109,7.2,2302,R,0,0,0,1,0,0,0,0
Hollywood Ending,May,2002,16.0,112,6.3,3673,PG-13,0,0,1,1,0,0,0,0
Raise Your Voice,Oct,2004,15.0,103,4.3,1626,PG,0,0,0,1,0,1,0,0
Radio Days,Jan,1987,16.0,85,7.4,3989,,0,0,1,1,0,0,0,0
Out Cold,Nov,2001,11.0,92,5.2,1990,PG-13,0,0,1,0,0,0,0,0
Soldier,Oct,1998,75.0,98,5.2,5590,R,1,0,0,0,0,0,0,0
Birth,Oct,2004,20.0,100,6.0,2600,R,0,0,0,1,0,1,0,0
Hellraiser,Sep,1987,1.0,89,6.5,6815,,0,0,0,0,0,0,0,0
Envy,Apr,2004,20.0,99,4.3,3417,PG-13,0,0,1,0,0,0,0,0
Soul Plane,May,2004,16.0,92,3.2,2361,R,0,0,1,0,0,0,0,0
School Daze,Feb,1988,6.0,121,5.3,955,,0,0,0,1,0,0,0,0
Being Julia,Oct,2004,18.0,104,7.2,1671,R,0,0,1,1,0,0,0,0
Flight of the Intruder,Jan,1991,35.0,115,5.2,1004,,1,0,0,0,0,0,0,0
Welcome to Mooseport,Feb,2004,26.0,117,5.3,2356,PG-13,0,0,1,0,0,0,0,0
Maria Full of Grace,Jul,2004,3.2,101,7.7,4131,R,0,0,0,1,0,0,0,0
Trapeze,Jan,1956,4.0,105,6.6,475,,0,0,0,1,0,0,0,0
Tea with Mussolini,May,1999,14.0,117,6.7,2711,PG,0,0,1,1,0,0,0,0
Snow Falling on Cedars,Dec,1999,36.0,127,6.7,4536,PG-13,0,0,0,1,0,0,0,0
Ishtar,May,1987,40.0,107,3.7,3479,,0,0,1,0,0,0,0,0
Memoirs of an Invisible Man,Feb,1992,40.0,99,5.6,3038,,0,0,1,0,0,0,0,0
Friday the 13th Part VIII: Jason Takes Manhattan,Jul,1989,5.0,100,3.6,3248,,0,0,0,0,0,0,0,0
Ballistic: Ecks vs. Sever,Sep,2002,70.0,91,3.4,4556,R,1,0,0,0,0,0,0,0
I Dreamed of Africa,May,2000,34.0,114,5.2,1113,PG-13,0,0,0,1,0,0,0,0
The Messenger: The Story of Joan of Arc,Nov,1999,50.0,148,6.2,10476,R,0,0,0,1,0,0,0,0
Josie and the Pussycats,Apr,2001,22.0,98,5.2,4508,PG-13,0,0,1,0,0,0,0,0
Freddy Got Fingered,Apr,2001,15.0,87,3.5,9115,R,0,0,1,0,0,0,0,0
The Return of the Living Dead,Aug,1985,4.0,91,6.7,3344,,0,0,1,0,0,0,0,0
Buffy the Vampire Slayer,Jul,1992,7.0,86,5.4,6825,,1,0,1,0,0,0,0,0
Poltergeist III,Jun,1988,9.5,98,3.7,2081,,0,0,0,0,0,0,0,0
How to Deal,Jul,2003,16.0,102,5.5,1537,PG-13,0,0,1,1,0,1,0,0
Creepshow 2,May,1987,3.5,92,4.9,1524,,0,0,1,0,0,0,0,0
Stealing Harvard,Sep,2002,25.0,82,4.7,2547,PG-13,0,0,1,1,0,0,0,0
My Stepmother Is an Alien,Dec,1988,16.0,105,4.7,4080,,0,0,1,0,0,0,0,0
The Man Who Knew Too Little,Nov,1997,20.0,94,6.2,4457,PG,0,0,1,0,0,0,0,0
"New York, New York",Jun,1977,14.0,163,6.3,1616,,0,0,0,1,0,0,0,0
She's the One,Aug,1996,3.5,96,6.0,3779,R,0,0,1,0,0,1,0,0
Juwanna Mann,Jun,2002,15.6,91,3.9,885,PG-13,0,0,1,0,0,0,0,0
Blow Out,Jul,1981,18.0,108,7.0,3563,,0,0,0,0,0,0,0,0
Fear and Loathing in Las Vegas,May,1998,18.5,118,7.2,21484,,0,0,1,1,0,0,0,0
Hey Arnold! The Movie,Jun,2002,10.0,76,4.8,425,PG,0,1,1,0,0,0,0,0
American Outlaws,Aug,2001,35.0,94,5.5,2878,PG-13,1,0,1,0,0,0,0,0
Osmosis Jones,Aug,2001,70.0,95,6.2,3410,PG,0,1,1,0,0,0,0,0
Tomcats,Mar,2001,11.0,95,4.7,3717,R,0,0,1,0,0,0,0,0
The Little Vampire,Oct,2000,22.0,91,5.6,601,PG,0,0,1,0,0,0,0,0
The Deep End of the Ocean,Mar,1999,40.0,106,5.9,2890,PG-13,0,0,0,1,0,0,0,0
Secrets & Lies,Sep,1996,4.5,136,7.9,7747,R,0,0,1,1,0,0,0,0
The Legend of the Lone Ranger,May,1981,18.0,98,4.3,307,,0,0,0,0,0,0,0,0
Bullets Over Broadway,Oct,1994,20.0,98,7.4,6685,,0,0,1,0,0,1,0,0
Vera Drake,Oct,2004,11.0,125,7.9,2562,R,0,0,0,1,0,0,0,0
FearDotCom,Aug,2002,40.0,101,3.2,5126,R,0,0,0,0,0,0,0,0
Anything Else,Sep,2003,18.0,108,6.5,3678,R,0,0,1,0,0,1,0,0
Family Plot,Apr,1976,3.0,121,6.6,2212,,0,0,1,0,0,0,0,0
The Ice Pirates,Mar,1984,9.0,91,4.9,1426,,1,0,1,0,0,0,0,0
The Way of the Gun,Sep,2000,9.0,120,6.5,7750,R,0,0,0,0,0,0,0,0
Ghosts of Mississippi,Dec,1996,36.0,130,6.4,2268,,0,0,0,1,0,0,0,0
Angela's Ashes,Dec,1999,25.0,145,6.8,4347,,0,0,0,1,0,0,0,0
Crooklyn,May,1994,14.0,115,6.2,1112,,0,0,1,1,0,0,0,0
The Crew,Aug,2000,23.0,84,5.3,1297,PG-13,0,0,1,0,0,0,0,0
In Cold Blood,Jan,1967,3.5,129,8.0,2406,,0,0,0,1,0,0,0,0
Torn Curtain,Jul,1966,3.0,126,6.5,2477,,0,0,0,0,0,0,0,0
They Live,Nov,1988,4.0,93,6.5,5131,,1,0,0,0,0,0,0,0
Lone Star,Jun,1996,5.0,135,7.7,8518,R,0,0,0,1,0,0,0,0
Gods and Generals,Feb,2003,55.0,209,5.7,3002,PG-13,1,0,0,1,0,0,0,0
Gods and Generals,Feb,2003,55.0,209,5.7,3002,PG-13,1,0,0,1,0,0,0,0
Living Out Loud,Oct,1998,12.0,103,6.5,1774,R,0,0,1,1,0,1,0,0
Highlander,Mar,1986,16.0,116,7.1,18146,R,1,0,0,0,0,0,0,0
Mary Reilly,Feb,1996,47.0,108,5.5,2806,R,0,0,0,1,0,0,0,0
Marvin's Room,Dec,1996,23.0,98,6.5,4005,PG-13,0,0,1,1,0,0,0,0
Highlander: Endgame,Sep,2000,15.0,101,4.4,3773,R,1,0,0,0,0,0,0,0
The Nun's Story,Jan,1959,3.5,149,7.4,1197,,0,0,0,1,0,0,0,0
Mystic Pizza,Oct,1988,6.0,104,6.1,3767,,0,0,1,1,0,1,0,0
The Omega Code,Oct,1999,7.2,100,3.5,2224,,1,0,0,1,0,0,0,0
Chasing Papi,Apr,2003,9.0,81,4.2,598,PG,0,0,1,0,0,0,0,0
Extreme Ops,Nov,2002,40.0,94,4.0,1337,PG-13,1,0,0,0,0,0,0,0
Frenzy,Jun,1972,3.5,116,7.3,3698,,0,0,0,0,0,0,0,0
Diner,Apr,1982,5.0,110,7.2,3250,,0,0,1,1,0,0,0,0
Love Jones,Mar,1997,10.0,104,6.4,497,,0,0,0,1,0,1,0,0
Gattaca,Oct,1997,36.0,101,7.6,26071,PG-13,0,0,0,1,0,0,0,0
Sorority Boys,Mar,2002,12.0,93,5.1,2398,R,0,0,1,0,0,0,0,0
Breakin' All the Rules,May,2004,9.0,85,5.0,575,PG-13,0,0,1,0,0,1,0,0
War and Peace,Jan,1956,6.0,208,6.6,795,PG,0,0,0,1,0,1,0,0
Undisputed,Aug,2002,20.0,96,5.6,1769,R,1,0,0,1,0,0,0,0
The Andromeda Strain,Jan,1971,6.5,131,7.1,4042,,0,0,0,0,0,0,0,0
True Romance,Sep,1993,12.5,121,7.7,25896,,1,0,0,1,0,1,0,0
Escape from the Planet of the Apes,Jan,1971,2.5,98,5.8,2951,,1,0,0,1,0,0,0,0
Chasing Liberty,Jan,2004,23.0,111,5.7,1911,PG-13,0,0,1,0,0,1,0,0
My Life Without Me,Sep,2003,2.5,107,7.6,3017,R,0,0,0,1,0,1,0,0
Lone Wolf McQuade,Apr,1983,5.0,105,5.4,721,,1,0,0,1,0,0,0,0
Abandon,Oct,2002,25.0,99,4.7,2364,PG-13,0,0,0,1,0,0,0,0
Confidence,Apr,2003,15.0,97,6.8,6168,R,0,0,0,1,0,0,0,0
Office Space,Feb,1999,10.0,89,7.7,26134,R,0,0,1,0,0,0,0,0
Holy Man,Oct,1998,60.0,114,4.9,3497,PG,0,0,1,1,0,0,0,0
In Dreams,Jan,1999,30.0,98,5.3,3652,R,0,0,0,0,0,0,0,0
Sorcerer,Jun,1977,21.6,93,7.1,719,,0,0,0,0,0,0,0,0
Harper,Feb,1966,3.5,121,7.0,632,,0,0,0,1,0,0,0,0
Narc,Dec,2002,7.5,105,7.3,7185,R,0,0,0,1,0,0,0,0
The Thirteenth Floor,May,1999,16.0,100,6.4,7712,R,0,0,0,0,0,0,0,0
Bloodsport,Feb,1988,1.5,92,5.8,5221,,1,0,0,0,0,0,0,0
The Rules of Attraction,Oct,2002,4.0,110,6.7,8552,R,0,0,1,1,0,1,0,0
Tales from the Hood,May,1995,6.0,98,5.1,548,R,1,0,0,0,0,0,0,0
Hoop Dreams,Oct,1994,0.7,170,7.9,4668,,0,0,0,0,1,0,0,0
3 Ninjas Kick Back,May,1994,20.0,93,3.5,565,,1,0,1,0,0,0,0,0
The Great Escape,Aug,1963,4.0,172,8.3,20075,,1,0,0,1,0,0,0,0
Quills,Nov,2000,13.5,124,7.3,9155,R,0,0,0,1,0,1,0,0
The Adventures of Elmo in Grouchland,Oct,1999,17.0,89,5.5,420,,0,0,1,0,0,0,0,0
The Muse,Aug,1999,15.0,97,5.6,3513,PG-13,0,0,1,0,0,0,0,0
Lifeforce,Jun,1985,25.0,101,5.6,2071,,0,0,0,0,0,0,0,0
Wing Commander,Mar,1999,30.0,96,3.7,4854,PG-13,1,0,0,0,0,0,0,0
The Order,Sep,2003,35.0,102,4.6,3004,R,0,0,0,0,0,0,0,0
The Cookout,Sep,2004,16.0,97,3.2,368,PG-13,0,0,1,0,0,0,0,0
Beyond Borders,Oct,2003,60.0,127,5.4,1905,R,0,0,0,1,0,1,0,0
Sphinx,Feb,1981,10.0,118,4.5,204,,0,0,0,0,0,0,0,0
Chill Factor,Sep,1999,34.0,101,5.0,2542,R,1,0,1,0,0,0,0,0
Superman IV: The Quest for Peace,Jul,1987,17.0,134,3.3,6171,,1,0,0,0,0,0,0,0
Before Sunset,Jul,2004,2.0,80,8.3,8789,R,0,0,0,1,0,1,0,0
Deep Rising,Jan,1998,45.0,97,5.4,4626,R,1,0,0,0,0,0,0,0
The Squid and the Whale,Oct,2005,1.5,80,3.6,61,,0,0,0,1,0,0,0,0
Barney's Great Adventure,Apr,1998,15.0,76,2.9,249,,0,0,0,0,0,0,0,0
The Cooler,Nov,2003,4.0,101,7.0,6329,R,0,0,1,1,0,1,0,0
Brokedown Palace,Aug,1999,25.0,100,6.1,4321,PG-13,0,0,0,1,0,0,0,0
Big Trouble in Little China,Jul,1986,25.0,99,6.7,10803,,1,0,1,0,0,0,0,0
Krush Groove,Oct,1985,3.0,97,5.5,253,,0,0,0,1,0,0,0,0
The Birth of a Nation,Feb,1915,0.11,125,7.1,2617,,0,0,0,1,0,0,0,0
The Lost Weekend,Jan,1945,1.25,101,8.1,2661,,0,0,0,1,0,0,0,0
Show Boat,Sep,1951,2.3,107,7.0,665,,0,0,0,1,0,1,0,0
Pat Garrett and Billy the Kid,May,1973,4.638783,122,6.9,1469,R,0,0,0,0,0,0,0,0
Solomon and Sheba,Jan,1959,5.0,141,5.8,254,,0,0,0,1,0,0,0,0
Here on Earth,Mar,2000,15.0,93,4.8,2187,PG-13,0,0,0,1,0,1,0,0
The Hole,Dec,2001,7.5,102,6.5,4927,R,0,0,0,0,0,0,0,0
You Can Count on Me,Nov,2000,1.2,111,7.8,7630,R,0,0,0,1,0,0,0,0
Silver Bullet,Oct,1985,7.0,95,5.6,2000,,0,0,0,0,0,0,0,0
New York Stories,Mar,1989,15.0,124,6.1,2699,,0,0,1,1,0,0,0,0
The Beastmaster,Aug,1982,5.0,90,5.4,2506,,1,0,0,0,0,0,0,0
Gettysburg,Oct,1993,25.0,259,7.5,5191,,0,0,0,1,0,0,0,0
Glengarry Glen Ross,Sep,1992,12.5,100,7.8,11485,,0,0,0,1,0,0,0,0
RoboCop 3,Nov,1993,22.0,104,3.2,4519,,1,0,0,0,0,0,0,0
Deconstructing Harry,Dec,1997,20.0,96,7.1,7342,R,0,0,1,0,0,0,0,0
The Astronaut's Wife,Aug,1999,34.0,109,4.8,7253,R,0,0,0,0,0,0,0,0
The End of the Affair,Dec,1999,23.0,102,7.0,4808,R,0,0,0,1,0,1,0,0
Return to Oz,Jun,1985,27.0,113,6.3,2225,,0,0,0,0,0,0,0,0
After Hours,Sep,1985,4.5,96,7.4,5630,,0,0,1,0,0,0,0,0
Three to Tango,Oct,1999,20.0,98,6.0,5719,PG-13,0,0,1,0,0,1,0,0
Mad City,Nov,1997,50.0,115,6.0,3965,PG-13,0,0,0,1,0,0,0,0
Pollock,Dec,2000,6.0,132,7.1,4013,R,0,0,0,1,0,0,0,0
We're No Angels,Dec,1989,20.0,106,5.4,2694,,0,0,1,0,0,0,0,0
Home Fries,Nov,1998,15.0,91,4.9,2374,PG-13,0,0,1,1,0,1,0,0
The Brothers McMullen,Aug,1995,0.05,98,6.4,2325,R,0,0,1,1,0,0,0,0
Elmer Gantry,Jan,1960,3.0,146,7.8,1771,,0,0,0,1,0,0,0,0
Moby Dick,Jan,1956,4.5,115,7.3,1887,,0,0,0,1,0,0,0,0
Head Over Heels,Feb,2001,14.0,86,4.9,2632,PG-13,0,0,1,0,0,1,0,0
Town & Country,Apr,2001,105.0,104,4.5,1434,R,0,0,1,0,0,0,0,0
The Scarlet Letter,Oct,1995,50.0,135,4.4,2426,R,0,0,0,1,0,1,0,0
The Newton Boys,Mar,1998,27.0,113,5.7,2003,PG-13,1,0,0,1,0,0,0,0
Knock Off,Sep,1998,35.0,91,3.8,1947,R,1,0,0,0,0,0,0,0
White Squall,Feb,1996,38.0,129,6.4,3445,PG-13,0,0,0,1,0,0,0,0
Saved!,May,2004,5.0,92,7.1,6504,PG-13,0,0,1,1,0,0,0,0
Woman on Top,Sep,2000,8.0,92,5.3,2094,R,0,0,1,0,0,1,0,0
Henry V,Nov,1989,9.0,137,7.9,8241,PG-13,1,0,0,1,0,0,0,0
Lovesick,Feb,1983,10.1,95,4.4,175,,0,0,1,0,0,1,0,0
The Wash,Nov,2001,4.0,93,3.7,902,,0,0,1,0,0,0,0,0
Duplex,Sep,2003,40.0,89,5.7,4334,PG-13,0,0,1,0,0,0,0,0
Elephant,Oct,2003,3.0,81,7.3,9203,R,0,0,0,1,0,0,0,0
Mrs. Winterbourne,Apr,1996,25.0,105,5.8,1310,PG-13,0,0,1,0,0,1,0,0
Dirty Work,Jun,1998,13.0,82,5.9,4252,PG-13,0,0,1,0,0,0,0,0
Lucky Numbers,Oct,2000,65.0,105,5.0,2396,R,0,0,1,0,0,0,0,0
King Kong,Apr,1933,0.672,100,7.9,10301,,0,0,0,0,0,0,0,0
